"","TYPE","lon","lat","cell","Banks, ATMs","Barbershops, beauty salons","Shops","Bus stop","Restaurants, cafe, fast-food","Cinema, theater","Hospitals, pharmacies","Schools, learning centers, kindergartens","Supermarkets, malls","Place of worship","Universities","circlePoint"
"1","Banks, ATMs",44.4414295712798,40.165413058298,"2,6",35,2,27,26,11,0,12,23,11,2,0,1490
"2","Banks, ATMs",44.4414585868635,40.1654263759997,"6",3,0,13,3,4,0,4,4,4,1,0,360
"3","Banks, ATMs",44.456712519377,40.1485425127871,"2",5,0,2,0,2,0,0,2,3,0,0,140
"4","Banks, ATMs",44.4622217073514,40.1449925076114,"2,3",52,9,44,39,22,1,40,14,22,1,3,2470
"5","Banks, ATMs",44.4632041049462,40.1457219015622,"7",20,2,87,20,8,1,14,16,13,0,0,1810
"6","Banks, ATMs",44.4394309096042,40.1769949020116,"6,7",30,6,130,17,9,1,22,18,20,1,0,2540
"7","Banks, ATMs",44.442233204133,40.1661300823865,"7,11",5,1,32,1,1,0,2,3,3,0,0,480
"8","Banks, ATMs",44.4422657231462,40.1661449101862,"7,8",3,0,35,2,3,0,2,4,2,0,0,510
"9","Banks, ATMs",44.4422989608118,40.1661675637629,"3,6,7",1,0,1,3,2,1,0,0,1,0,0,90
"10","Banks, ATMs",44.4441163424631,40.1734312835002,"3,7",189,12,164,48,335,12,85,32,34,5,13,9290
"11","Banks, ATMs",44.4440145633414,40.1756910068344,"3",46,13,62,26,35,2,41,11,11,0,1,2480
"12","Banks, ATMs",44.4457511864486,40.1730082548207,"3,4,7",2,0,0,0,1,0,3,1,0,1,0,80
"13","Banks, ATMs",44.4455398128623,40.1736472927468,"3,4,7,8",1,0,0,3,0,0,0,2,0,0,0,60
"14","Banks, ATMs",44.4499664410878,40.1742264027998,"3,4",28,11,63,26,15,0,27,16,7,4,2,1990
"15","Banks, ATMs",44.4506532031225,40.1743584641846,"4,8",12,9,20,22,8,0,16,16,16,0,1,1200
"16","Banks, ATMs",44.4460720646681,40.1780153779532,"4",28,13,32,27,16,0,24,9,11,1,3,1640
"17","Banks, ATMs",44.4464029141873,40.1787293862621,"1,2,5",0,0,0,1,0,0,0,0,0,0,0,10
"18","Banks, ATMs",44.4467962864502,40.179462192706,"1,2,5,6",0,0,0,1,0,0,0,0,0,0,0,10
"19","Banks, ATMs",44.4458387721888,40.1802077569728,"1,2,6",0,0,0,1,1,0,0,1,0,0,0,30
"20","Banks, ATMs",44.4557628204586,40.1748252071445,"3,7,8",0,0,0,2,0,0,0,1,0,0,0,30
"21","Banks, ATMs",44.4567386603518,40.1720881943746,"5,6",0,1,1,0,0,0,0,1,1,0,0,40
"22","Banks, ATMs",44.4573958678136,40.1721691223045,"1,2",0,0,2,0,0,0,0,2,0,0,0,40
"23","Banks, ATMs",44.4573664030723,40.1724191128067,"",0,0,1,0,0,0,0,0,0,0,0,10
"24","Banks, ATMs",44.4573919152264,40.1728547063579,"2,5,6",0,0,0,0,0,0,0,2,0,0,0,20
"25","Banks, ATMs",44.4569680900753,40.1735186619659,"6,10,11",0,0,0,0,0,0,0,1,0,2,0,30
"26","Banks, ATMs",44.4575554984396,40.1731252177439,"2,3,6",0,0,0,0,2,0,0,2,1,0,0,50
"27","Banks, ATMs",44.4575718477778,40.1732644198333,"3,4,8",0,0,0,0,0,0,0,2,0,0,0,20
"28","Banks, ATMs",44.457898115889,40.1741638039662,"6,10",0,0,0,0,0,0,0,2,1,1,0,40
"29","Banks, ATMs",44.4584433034349,40.1756352044762,"8,11,12",0,0,0,0,1,0,0,0,0,0,0,10
"30","Banks, ATMs",44.4651794104244,40.1669992880287,"2,3,7",0,0,0,0,1,0,0,0,0,0,0,10
"31","Banks, ATMs",44.458737771185,40.1784366595502,"2,3,6,7",0,0,1,0,0,0,0,0,0,0,0,10
