"","District","supermarket.shop.food.","place_of_worship","School.kindergarten","beauty_salon","bank.atm","mall.shop.non.food.","bus_stop","healthcare","restaurant.cafe","state.institutions.NGO","cinema.theatre.museum","pub.bar","university","post_office","averagescore"
"1","Malatia-Sebastia",23,4,29,2,42,13,31,13,16,0,1,0,0,0,74.32125
"2","Shengavit",141,3,25,7,42,30,21,26,13,2,2,0,0,0,51.865
"3","Ajapnyak",22,0,12,2,29,7,20,15,6,0,0,0,1,0,64.68375
"4","Erebuni",150,0,19,3,21,14,17,17,9,0,0,0,0,0,47.02875
"5","Kentron",78,5,32,12,193,96,45,89,314,0,12,31,13,0,99.81
"6","Arabkir",78,0,16,19,71,32,36,67,53,0,2,0,3,0,86.5625
"7","Nork-Marash",3,1,8,0,5,0,5,3,3,0,0,0,1,0,83.6375
"8","Kanaker-Zeytun",57,4,15,10,26,6,23,28,10,0,0,0,2,0,85.13875
"9","Davtashen",6,1,4,1,10,1,10,8,7,0,1,0,0,0,76.84375
"10","Nor Nork",43,0,18,14,19,6,29,23,12,0,0,0,0,2,81.81375
"11","Avan",25,1,6,8,27,3,26,16,9,0,0,0,3,0,85.385
